"","plot","date","variable","value"
"4597",16,201601,"tmin",-4.73999977111816
"4598",16,201602,"tmin",-1.32000005245209
"4599",16,201603,"tmin",0.389999985694885
"4600",16,201604,"tmin",3.64000010490417
"4601",16,201605,"tmin",5.51900005340576
"4602",16,201606,"tmin",11.3070001602173
"4603",16,201607,"tmin",14.5790004730225
"4604",16,201608,"tmin",14.7729997634888
"4605",16,201609,"tmin",8.96500015258789
"4606",16,201610,"tmin",4.95699977874756
"4607",16,201611,"tmin",1.19799995422363
"4608",16,201612,"tmin",-7.48199987411499
"4609",18,201101,"tmin",-5.51000022888184
"4610",18,201102,"tmin",-5.32999992370605
"4611",18,201103,"tmin",-1.30999994277954
"4612",18,201104,"tmin",-0.889999985694885
"4613",18,201105,"tmin",2.36999988555908
"4614",18,201106,"tmin",6.86999988555908
"4615",18,201107,"tmin",12.289999961853
"4616",18,201108,"tmin",12.789999961853
"4617",18,201109,"tmin",9.57999992370605
"4618",18,201110,"tmin",3.26999998092651
"4619",18,201111,"tmin",-3.67000007629395
"4620",18,201112,"tmin",-7.8600001335144
"4621",18,201201,"tmin",-5.71999979019165
"4622",18,201202,"tmin",-5.23999977111816
"4623",18,201203,"tmin",-1.66999995708466
"4624",18,201204,"tmin",1.5
"4625",18,201205,"tmin",4.32000017166138
"4626",18,201206,"tmin",7.69000005722046
"4627",18,201207,"tmin",14.5200004577637
"4628",18,201208,"tmin",14.1099996566772
"4629",18,201209,"tmin",9.57999992370605
"4630",18,201210,"tmin",3.27999997138977
"4631",18,201211,"tmin",-0.349999994039536
"4632",18,201212,"tmin",-4.03000020980835
"4633",18,201301,"tmin",-11.4799995422363
"4634",18,201302,"tmin",-4.44000005722046
"4635",18,201303,"tmin",-1.62000000476837
"4636",18,201304,"tmin",0.280000001192093
"4637",18,201305,"tmin",4.48000001907349
"4638",18,201306,"tmin",8.64000034332275
"4639",18,201307,"tmin",15.8599996566772
"4640",18,201308,"tmin",14.4899997711182
"4641",18,201309,"tmin",8.94999980926514
"4642",18,201310,"tmin",0.889999985694885
"4643",18,201311,"tmin",-0.490000009536743
"4644",18,201312,"tmin",-9.46000003814697
"4645",18,201401,"tmin",-4.6100001335144
"4646",18,201402,"tmin",-1.76999998092651
"4647",18,201403,"tmin",-1.22000002861023
"4648",18,201404,"tmin",1.36000001430511
"4649",18,201405,"tmin",4.80999994277954
"4650",18,201406,"tmin",8.82999992370605
"4651",18,201407,"tmin",15.8299999237061
"4652",18,201408,"tmin",13.1800003051758
"4653",18,201409,"tmin",10.2799997329712
"4654",18,201410,"tmin",5.13000011444092
"4655",18,201411,"tmin",-1.27999997138977
"4656",18,201412,"tmin",-2.15000009536743
"4657",18,201501,"tmin",-3.27999997138977
"4658",18,201502,"tmin",-0.790000021457672
"4659",18,201503,"tmin",-0.0299999993294477
"4660",18,201504,"tmin",-0.189999997615814
"4661",18,201505,"tmin",6.15999984741211
"4662",18,201506,"tmin",12.3800001144409
"4663",18,201507,"tmin",13.4099998474121
"4664",18,201508,"tmin",13.6800003051758
"4665",18,201509,"tmin",9.14999961853027
"4666",18,201510,"tmin",6.92000007629395
"4667",18,201511,"tmin",-2.6800000667572
"4668",18,201512,"tmin",-4.71999979019165
"4669",18,201601,"tmin",-5.51000022888184
"4670",18,201602,"tmin",-2.08999991416931
"4671",18,201603,"tmin",-0.129999995231628
"4672",18,201604,"tmin",2.6800000667572
"4673",18,201605,"tmin",4.87900018692017
"4674",18,201606,"tmin",9.54899978637695
"4675",18,201607,"tmin",13.2399997711182
"4676",18,201608,"tmin",13.2159996032715
"4677",18,201609,"tmin",7.48299980163574
"4678",18,201610,"tmin",4.2519998550415
"4679",18,201611,"tmin",-0.00400000018998981
"4680",18,201612,"tmin",-8.45100021362305
"4681",19,201101,"tmin",-7.3600001335144
"4682",19,201102,"tmin",-6.09000015258789
"4683",19,201103,"tmin",-1.73000001907349
"4684",19,201104,"tmin",-1.21000003814697
"4685",19,201105,"tmin",1.47000002861023
"4686",19,201106,"tmin",5.57999992370605
"4687",19,201107,"tmin",9.92000007629395
"4688",19,201108,"tmin",9.84000015258789
"4689",19,201109,"tmin",6.59000015258789
"4690",19,201110,"tmin",0.649999976158142
"4691",19,201111,"tmin",-5.69000005722046
"4692",19,201112,"tmin",-10
"4693",19,201201,"tmin",-7.71000003814697
"4694",19,201202,"tmin",-6.46000003814697
"4695",19,201203,"tmin",-2.36999988555908
"4696",19,201204,"tmin",0.219999998807907
"4697",19,201205,"tmin",2.73000001907349
"4698",19,201206,"tmin",6.17999982833862
"4699",19,201207,"tmin",12.1000003814697
"4700",19,201208,"tmin",10.9200000762939
"4701",19,201209,"tmin",6.13000011444092
"4702",19,201210,"tmin",0.319999992847443
"4703",19,201211,"tmin",-2.53999996185303
"4704",19,201212,"tmin",-4.96000003814697
"4705",19,201301,"tmin",-13.8299999237061
"4706",19,201302,"tmin",-5.26000022888184
"4707",19,201303,"tmin",-3.1800000667572
"4708",19,201304,"tmin",-0.660000026226044
"4709",19,201305,"tmin",3.3199999332428
"4710",19,201306,"tmin",7.36999988555908
"4711",19,201307,"tmin",13.4700002670288
"4712",19,201308,"tmin",11.6000003814697
"4713",19,201309,"tmin",7.94999980926514
"4714",19,201310,"tmin",-1.75
"4715",19,201311,"tmin",-3.34999990463257
"4716",19,201312,"tmin",-11.6499996185303
"4717",19,201401,"tmin",-6.34999990463257
"4718",19,201402,"tmin",-2.75999999046326
"4719",19,201403,"tmin",-2.33999991416931
"4720",19,201404,"tmin",0.189999997615814
"4721",19,201405,"tmin",3.28999996185303
"4722",19,201406,"tmin",7.6100001335144
"4723",19,201407,"tmin",13.789999961853
"4724",19,201408,"tmin",11.2799997329712
"4725",19,201409,"tmin",8.03999996185303
"4726",19,201410,"tmin",2.5
"4727",19,201411,"tmin",-3.10999989509583
"4728",19,201412,"tmin",-3.11999988555908
"4729",19,201501,"tmin",-5.3899998664856
"4730",19,201502,"tmin",-2.28999996185303
"4731",19,201503,"tmin",-1.57000005245209
"4732",19,201504,"tmin",-1.49000000953674
"4733",19,201505,"tmin",5.30999994277954
"4734",19,201506,"tmin",10.75
